sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4436,INE0TPJ01019,Y,SPCON,,,Srinibas Pradhan Constructions Limited,NSE only,NSE SME (Emerge),SM,,
4437,INE1CW901027,Y,SPEB,,,Speb Adhesives Limited,NSE only,NSE SME (Emerge),ST,,
4438,INE547C01018,Y,,531982,SPECFOOD,Spectrum Foods Limited,BSE only,BSE Equity,,X,Active
4439,INE247M01014,Y,SPECIALITY,534425,SPECIALITY,Speciality Restaurants Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4440,INE848B01012,Y,,513687,SPECTRA,Spectra Industries Ltd.,BSE only,BSE Equity,,Z,Active
4441,INE01EO01010,Y,SPECTRUM,544386,SPECTRUM,Spectrum Electrical Industries Limited,NSE+BSE,NSE Mainboard,BE,T,Active
4442,INE0OL001018,Y,SPECTSTM,,,Spectrum Talent Management Limited,NSE only,NSE SME (Emerge),SM,,
4443,INE252A01019,Y,,517166,SPELS,SPEL Semiconductor Ltd.,BSE only,BSE Equity,,X,Active
4444,INE020801028,Y,SPENCERS,542337,SPENCERS,Spencer's Retail Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4445,INE175C01018,Y,,526161,SPENTA,Spenta International Ltd.,BSE only,BSE Equity,,XT,Active
4446,INE147A01011,Y,SPIC,590030,SPIC,Southern Petrochemicals Industries Corporation  Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4447,INE882D01017,Y,,526827,SPICEISLIN,SPICE ISLANDS INDUSTRIES LIMITED,BSE only,BSE Equity,,XT,Active
4448,INE285B01017,Y,,500285,SPICEJET,SpiceJet Limited,BSE only,BSE Equity,,B,Active
4449,INE631E01024,Y,,539895,SPICELOUNG,SPICE LOUNGE FOOD WORKS LIMITED,BSE only,BSE Equity,,B,Active
4450,INE10XX01012,Y,,544392,SPINAROO,SPINAROO COMMERCIAL LIMITED,BSE only,BSE Equity,,M,Active
4451,INE0JSJ01014,Y,,543464,SPITZE,Maruti Interior Products Limited,BSE only,BSE Equity,,M,Active
4452,INE0RDR01012,Y,,544035,SPL,Swashthik Plascon Limited,BSE only,BSE Equity,,M,Active
4453,INE978G01016,Y,SPLIL,532651,SPLIL,SPL Industries Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
